Date,Product_ID,Demand
2024-01-01,P0001,247
2024-02-01,P0001,276
2024-03-01,P0001,284
2024-04-01,P0001,296
2024-05-01,P0001,260
2024-06-01,P0001,272
2024-07-01,P0001,204
2024-08-01,P0001,243
2024-09-01,P0001,214
2024-10-01,P0001,232
2024-11-01,P0001,260
2024-12-01,P0001,204
2025-01-01,P0001,228
2025-02-01,P0001,272
2025-03-01,P0001,267
2025-04-01,P0001,252
2025-05-01,P0001,291
2025-06-01,P0001,257
2025-07-01,P0001,245
2025-08-01,P0001,256
2025-09-01,P0001,228
2025-10-01,P0001,208
2025-11-01,P0001,252
2025-12-01,P0001,223
2024-01-01,P0002,337
2024-02-01,P0002,336
2024-03-01,P0002,334
2024-04-01,P0002,349
2024-05-01,P0002,344
2024-06-01,P0002,325
2024-07-01,P0002,351
2024-08-01,P0002,324
2024-09-01,P0002,352
2024-10-01,P0002,382
2024-11-01,P0002,375
2024-12-01,P0002,396
2025-01-01,P0002,381
2025-02-01,P0002,369
2025-03-01,P0002,417
2025-04-01,P0002,469
2025-05-01,P0002,441
2025-06-01,P0002,455
2025-07-01,P0002,400
2025-08-01,P0002,472
2025-09-01,P0002,426
2025-10-01,P0002,433
2025-11-01,P0002,456
2025-12-01,P0002,479
2024-01-01,P0003,867
2024-02-01,P0003,928
2024-03-01,P0003,1029
2024-04-01,P0003,733
2024-05-01,P0003,962
2024-06-01,P0003,911
2024-07-01,P0003,867
2024-08-01,P0003,841
2024-09-01,P0003,749
2024-10-01,P0003,763
2024-11-01,P0003,764
2024-12-01,P0003,798
2025-01-01,P0003,870
2025-02-01,P0003,800
2025-03-01,P0003,1002
2025-04-01,P0003,976
2025-05-01,P0003,898
2025-06-01,P0003,882
2025-07-01,P0003,929
2025-08-01,P0003,763
2025-09-01,P0003,912
2025-10-01,P0003,848
2025-11-01,P0003,771
2025-12-01,P0003,712
2024-01-01,P0004,930
2024-02-01,P0004,799
2024-03-01,P0004,1142
2024-04-01,P0004,1113
2024-05-01,P0004,1021
2024-06-01,P0004,1012
2024-07-01,P0004,971
2024-08-01,P0004,774
2024-09-01,P0004,889
2024-10-01,P0004,844
2024-11-01,P0004,875
2024-12-01,P0004,931
2025-01-01,P0004,1002
2025-02-01,P0004,976
2025-03-01,P0004,1084
2025-04-01,P0004,1246
2025-05-01,P0004,1151
2025-06-01,P0004,1049
2025-07-01,P0004,1000
2025-08-01,P0004,993
2025-09-01,P0004,911
2025-10-01,P0004,1104
2025-11-01,P0004,1012
2025-12-01,P0004,1181
2024-01-01,P0005,941
2024-02-01,P0005,884
2024-03-01,P0005,1147
2024-04-01,P0005,1018
2024-05-01,P0005,1024
2024-06-01,P0005,994
2024-07-01,P0005,926
2024-08-01,P0005,752
2024-09-01,P0005,798
2024-10-01,P0005,878
2024-11-01,P0005,849
2024-12-01,P0005,797
2025-01-01,P0005,1000
2025-02-01,P0005,1114
2025-03-01,P0005,1188
2025-04-01,P0005,1232
2025-05-01,P0005,1241
2025-06-01,P0005,1079
2025-07-01,P0005,1020
2025-08-01,P0005,894
2025-09-01,P0005,880
2025-10-01,P0005,802
2025-11-01,P0005,886
2025-12-01,P0005,871
2024-01-01,P0006,1008
2024-02-01,P0006,1150
2024-03-01,P0006,1071
2024-04-01,P0006,1276
2024-05-01,P0006,1311
2024-06-01,P0006,1091
2024-07-01,P0006,1035
2024-08-01,P0006,1119
2024-09-01,P0006,1060
2024-10-01,P0006,1133
2024-11-01,P0006,1015
2024-12-01,P0006,1045
2025-01-01,P0006,1144
2025-02-01,P0006,1326
2025-03-01,P0006,1294
2025-04-01,P0006,1397
2025-05-01,P0006,1476
2025-06-01,P0006,1184
2025-07-01,P0006,1252
2025-08-01,P0006,1059
2025-09-01,P0006,1031
2025-10-01,P0006,1127
2025-11-01,P0006,1222
2025-12-01,P0006,1415
2024-01-01,P0007,779
2024-02-01,P0007,802
2024-03-01,P0007,931
2024-04-01,P0007,1019
2024-05-01,P0007,889
2024-06-01,P0007,692
2024-07-01,P0007,581
2024-08-01,P0007,732
2024-09-01,P0007,813
2024-10-01,P0007,741
2024-11-01,P0007,668
2024-12-01,P0007,611
2025-01-01,P0007,794
2025-02-01,P0007,806
2025-03-01,P0007,972
2025-04-01,P0007,903
2025-05-01,P0007,1038
2025-06-01,P0007,777
2025-07-01,P0007,815
2025-08-01,P0007,782
2025-09-01,P0007,829
2025-10-01,P0007,701
2025-11-01,P0007,733
2025-12-01,P0007,725
2024-01-01,P0008,1199
2024-02-01,P0008,1361
2024-03-01,P0008,1403
2024-04-01,P0008,1473
2024-05-01,P0008,1425
2024-06-01,P0008,1333
2024-07-01,P0008,1361
2024-08-01,P0008,1368
2024-09-01,P0008,1126
2024-10-01,P0008,1143
2024-11-01,P0008,1386
2024-12-01,P0008,1184
