Product_ID,Product_Name,Category,Current_Stock,Safety_Stock,Reorder_Point,Unit_Cost,Inventory_Value
P0001,Product 1,Raw Material,120,77,752,38.69,4642.8
P0002,Product 2,Finished Goods,2038,400,227,24.27,49462.26
P0003,Product 3,Finished Goods,103,675,394,18.09,1863.27
P0004,Product 4,Raw Material,3796,147,1131,16.68,63317.28
P0005,Product 5,Spare Parts,4476,652,1083,90.59,405480.84
P0006,Product 6,Finished Goods,1181,490,472,13.53,15978.93
P0007,Product 7,Spare Parts,1358,699,483,18.87,25625.46
P0008,Product 8,Raw Material,1892,90,408,42.19,79823.48
P0009,Product 9,Finished Goods,94,536,571,18.67,1754.98
P0010,Product 10,Spare Parts,526,479,1129,103.42,54398.92
P0011,Product 11,Finished Goods,4652,65,303,40.53,188545.56
P0012,Product 12,Spare Parts,3735,405,368,10.91,40748.85
P0013,Product 13,Consumables,1244,574,506,7.43,9242.92
P0014,Product 14,Consumables,575,278,1028,38.39,22074.25
P0015,Product 15,Raw Material,1225,663,971,8.03,9836.75
P0016,Product 16,Raw Material,219,388,555,9.17,2008.23
P0017,Product 17,Consumables,49,334,223,14.46,708.54
P0018,Product 18,Finished Goods,1144,176,335,7.51,8591.44
P0019,Product 19,Raw Material,1144,336,193,21.7,24824.8
P0020,Product 20,Finished Goods,4608,287,1041,17.03,78474.24
P0021,Product 21,Finished Goods,199,271,926,105.06,20906.94
P0022,Product 22,Raw Material,3134,626,795,23.8,74589.2
P0023,Product 23,Finished Goods,4483,506,1177,22.6,101315.8
P0024,Product 24,Spare Parts,4891,91,187,79.55,389079.05
P0025,Product 25,Finished Goods,2002,359,893,119.89,240019.78
P0026,Product 26,Finished Goods,111,450,1004,17.35,1925.85
P0027,Product 27,Finished Goods,1179,206,887,21.17,24959.43
P0028,Product 28,Finished Goods,3289,690,759,12.31,40487.59
P0029,Product 29,Packaging,3813,282,304,6.35,24212.55
P0030,Product 30,Finished Goods,3152,679,1047,28.31,89233.12
P0031,Product 31,Finished Goods,3855,458,523,23.7,91363.5
P0032,Product 32,Consumables,1198,224,973,2.27,2719.46
P0033,Product 33,Finished Goods,1443,326,925,12.1,17460.3
P0034,Product 34,Packaging,3218,151,489,44.94,144616.92
P0035,Product 35,Raw Material,1443,507,777,23.72,34227.96
P0036,Product 36,Finished Goods,4056,492,1099,37.61,152546.16
P0037,Product 37,Raw Material,361,216,307,18.94,6837.34
P0038,Product 38,Spare Parts,3149,481,535,193.92,610654.08
P0039,Product 39,Finished Goods,3507,164,173,15.62,54779.34
P0040,Product 40,Raw Material,1742,389,805,44.29,77153.18
P0041,Product 41,Raw Material,4900,336,472,23.46,114954.0
P0042,Product 42,Consumables,386,229,384,47.64,18389.04
P0043,Product 43,Spare Parts,4138,566,435,150.88,624341.44
